,Camila,Tania,Lisala,Limbe,Mirinda,Lolaya,Nefertari
Camila,0,4,9,15,8,19,4
Tania,0,0,79,55,13,33,10
Lisala,0,1,0,109,23,23,7
Limbe,0,0,0,0,103,67,27
Mirinda,0,0,0,0,0,4,2
Lolaya,0,0,0,0,0,0,4
Nefertari,0,0,0,0,0,0,0
