,Camila,Tania,Lisala,Limbe,Mirinda,Lolaya,Nefertari
Camila,0,1,2,1,0,7,0
Tania,0,0,0,3,0,3,5
Lisala,0,0,0,3,0,2,2
Limbe,0,1,0,0,1,9,3
Mirinda,0,0,0,0,0,0,0
Lolaya,0,0,0,0,0,0,0
Nefertari,0,0,0,0,0,0,0
