,Camila,Lisala,Limbe,Lolaya,Mirinda,Nefertari
Camila,0,1517,559,0,0,52
Lisala,1517,0,1007,60,396,0
Limbe,559,1007,0,0,5,29
Lolaya,0,60,0,0,0,54
Mirinda,0,396,5,0,0,359
Nefertari,52,0,29,54,359,0
